29.4
1,0,32.0
2,0,36.5
3,0,42.9
4,0,46.0
5,0,47.0
6,0,46.1
7,0,43.1
8,0,35.0
9,0,30.6
10,0,29.0
11,0,28.0
12,0,27.1
13,0,26.5
14,0,26.0
15,0,26.8
16,0,27.0
17,0,27.7
17,1,27.0
16,1,26.8
15,1,25.1
14,1,28.5
13,1,27.9
12,1,25.9
11,1,27.1
10,1,28.9
9,1,32.2
8,1,41.8
7,1,45.9
6,1,44.8
5,1,43.5
4,1,48.2
3,1,47.0
2,1,41.6
1,1,32.0
0,1,29.1
0,2,29.0
1,2,30.0
2,2,34.1
3,2,42.2
4,2,43.0
5,2,48.7
6,2,42.2
7,2,41.8
8,2,42.7
9,2,42.8
10,2,36.7
11,2,30.8
12,2,27.4
13,2,45.8
14,2,52.9
15,2,24.8
16,2,53.0
17,2,52.0
17,3,49.0
16,3,52.5
15,3,24.8
14,3,53.3
13,3,52.1
12,3,26.1
11,3,29.4
10,3,32.6
9,3,40.2
8,3,40.6
7,3,42.3
6,3,43.0
5,3,46.8
4,3,36.8
3,3,43.1
2,3,38.0
1,3,31.9
0,3,29.0
0,4,28.9
1,4,29.9
2,4,34.6
3,4,41.7
3,5,44.0
4,4,42.5
5,4,27.0
6,4,45.9
7,4,45.1
8,4,37.4
9,4,41.0
10,4,37.7
11,4,31.1
12,4,27.9
13,4,25.9
14,4,51.9
15,4,51.9
16,4,52.7
16,5,45.9
15,5,25.1
14,5,25.1
13,5,25.8
12,5,27.1
11,5,28.9
10,5,34.8
9,5,41.1
8,5,41.1
7,5,42.2
6,5,42.0
5,5,47.9
4,5,45.0
3,5,44.3
2,5,38.8
1,5,31.9
0,5,29.2
0,6,29.0
1,6,30.0
2,6,33.5
3,6,41.4
4,6,46.6
5,6,49.0
6,6,44.3
7,6,43.0
8,6,46.0
9,6,45.1
10,6,37.3
11,6,26.7
12,6,23.9
13,6,23.2
14,6,23.7
15,6,24.7
16,6,26.5
16,7,26.8
15,7,25.9
14,7,23.3
13,7,22.5
12,7,22.4
11,7,23.0
10,7,26.3
9,7,40.9
8,7,46.0
7,7,47.1
6,7,46.0
5,7,49.0
4,7,47.9
3,7,44.6
2,7,37.4
1,7,31.9
0,8,29.0
1,8,29.1
2,8,30.0
3,8,33.0
4,8,38.8
5,8,43.8
6,8,45.0
7,8,45.2
8,8,42.4
9,8,34.3
10,8,23.4
11,8,22.0
12,8,49.9
13,8,22.1
14,8,49.9
15,8,22.1
16,8,23.0
16,9,24.0
15,9,22.0
14,9,22.7
13,9,51.8
12,9,22.8
11,9,50.9
10,9,22.1
9,9,22.7
8,9,27.1
7,9,32.9
6,9,35.9
5,9,38.0
4,9,39.0
3,9,36.5
2,9,32.0
1,9,29.1
0,10,28.2
1,10,28.9
2,10,34.0
3,10,47.9
4,10,8.6
5,10,18.5
6,10,51.1
7,10,40.5
8,10,27.4
9,10,23.2
10,10,22.0
11,10,49.9
12,10,51.0
13,10,27.6
14,10,48.9
15,10,22.2
16,10,23.0
16,11,24.8
15,11,23.0
14,11,22.1
13,11,44.9
12,11,22.3
11,11,50.5
10,11,22.1
9,11,22.9
8,11,25.2
7,11,28.0
6,11,41.2
5,11,52.1
4,11,19.6
3,11,7.7
2,11,47.7
1,11,33.1
0,11,28.2
0,12,28.1
1,12,28.6
2,12,32.2
3,12,45.9
4,12,3.8
5,12,56.2
6,12,45.9
7,12,33.1
8,12,27.7
9,12,25.6
10,12,23.1
11,12,22.1
12,12,22.0
13,12,22.0
14,12,22.4
14,13,22.6
14,12,22.6
15,12,23.0
17,12,27.0
17,13,27.2
16,13,27.0
15,13,26.0
14,13,23.9
13,13,23.0
12,13,23.0
11,13,23.1
10,13,25.5
9,13,26.7
8,13,27.2
7,13,28.0
6,13,30.1
5,13,36.2
4,13,37.0
3,13,33.0
2,13,29.0
1,13,28.1
1,14,28.0
0,14,27.9
1,14,28.0
2,14,28.0
3,14,28.3
4,14,29.1
5,14,29.1
6,14,28.5
7,14,28.4
8,14,28.1
10,14,27.0
11,14,25.2
12,14,23.9
13,14,23.4
14,14,24.0
15,14,26.0
16,14,27.0
16,15,27.6
15,15,27.9
14,15,27.0
13,15,26.5
12,15,26.0
11,15,26.4
10,15,28.0
9,15,28.0
8,15,28.0
7,15,28.6
6,15,28.5
5,15,28.8
4,15,29.1
3,15,29.0
2,15,28.9
3,15,28.7
2,15,28.9
1,15,28.9
0,15,29.0
0,16,28.8
1,16,28.0
2,16,28.7
3,16,28.9
4,16,29.0
5,16,29.0
6,16,28.8
7,16,28.9
8,16,28.7
9,16,28.2
10,16,28.2
11,16,28.1
12,16,28.0
13,16,27.4
14,16,28.1
15,16,28.5
16,16,28.8
